model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,Affective,001,0.5,15,20,6,14
deepgazeiie,Affective,001,0.5,25,20,6,14
deepgazeiie,Affective,001,0.5,35,20,6,14
deepgazeiie,Affective,001,0.6,15,16,6,10
deepgazeiie,Affective,001,0.6,25,16,6,10
deepgazeiie,Affective,001,0.6,35,16,6,10
deepgazeiie,Affective,001,0.7,15,12,6,6
deepgazeiie,Affective,001,0.7,25,12,6,6
deepgazeiie,Affective,001,0.7,35,12,6,6
deepgazeiie,Affective,003,0.5,15,10,11,1
deepgazeiie,Affective,003,0.5,25,4,11,7
deepgazeiie,Affective,003,0.5,35,4,11,7
deepgazeiie,Affective,003,0.6,15,10,11,1
deepgazeiie,Affective,003,0.6,25,4,11,7
deepgazeiie,Affective,003,0.6,35,4,11,7
deepgazeiie,Affective,003,0.7,15,10,11,1
deepgazeiie,Affective,003,0.7,25,4,11,7
deepgazeiie,Affective,003,0.7,35,4,11,7
deepgazeiie,Affective,005,0.5,15,8,2,6
deepgazeiie,Affective,005,0.5,25,8,2,6
deepgazeiie,Affective,005,0.5,35,8,2,6
deepgazeiie,Affective,005,0.6,15,4,2,2
deepgazeiie,Affective,005,0.6,25,4,2,2
deepgazeiie,Affective,005,0.6,35,4,2,2
deepgazeiie,Affective,005,0.7,15,4,2,2
deepgazeiie,Affective,005,0.7,25,4,2,2
deepgazeiie,Affective,005,0.7,35,4,2,2
deepgazeiie,Affective,007,0.5,15,4,2,2
deepgazeiie,Affective,007,0.5,25,4,2,2
deepgazeiie,Affective,007,0.5,35,4,2,2
deepgazeiie,Affective,007,0.6,15,4,2,2
deepgazeiie,Affective,007,0.6,25,4,2,2
deepgazeiie,Affective,007,0.6,35,4,2,2
deepgazeiie,Affective,007,0.7,15,4,2,2
deepgazeiie,Affective,007,0.7,25,4,2,2
deepgazeiie,Affective,007,0.7,35,4,2,2
deepgazeiie,Affective,009,0.5,15,16,6,10
deepgazeiie,Affective,009,0.5,25,16,6,10
deepgazeiie,Affective,009,0.5,35,16,6,10
deepgazeiie,Affective,009,0.6,15,12,6,6
deepgazeiie,Affective,009,0.6,25,12,6,6
deepgazeiie,Affective,009,0.6,35,12,6,6
deepgazeiie,Affective,009,0.7,15,8,6,2
deepgazeiie,Affective,009,0.7,25,8,6,2
deepgazeiie,Affective,009,0.7,35,8,6,2
deepgazeiie,Affective,011,0.5,15,12,5,7
deepgazeiie,Affective,011,0.5,25,12,5,7
deepgazeiie,Affective,011,0.5,35,12,5,7
deepgazeiie,Affective,011,0.6,15,8,5,3
deepgazeiie,Affective,011,0.6,25,8,5,3
deepgazeiie,Affective,011,0.6,35,8,5,3
deepgazeiie,Affective,011,0.7,15,4,5,1
deepgazeiie,Affective,011,0.7,25,4,5,1
deepgazeiie,Affective,011,0.7,35,4,5,1
deepgazeiie,Affective,013,0.5,15,8,1,7
deepgazeiie,Affective,013,0.5,25,8,1,7
deepgazeiie,Affective,013,0.5,35,8,1,7
deepgazeiie,Affective,013,0.6,15,8,1,7
deepgazeiie,Affective,013,0.6,25,8,1,7
deepgazeiie,Affective,013,0.6,35,8,1,7
deepgazeiie,Affective,013,0.7,15,8,1,7
deepgazeiie,Affective,013,0.7,25,8,1,7
deepgazeiie,Affective,013,0.7,35,8,1,7
deepgazeiie,Affective,015,0.5,15,16,3,13
deepgazeiie,Affective,015,0.5,25,16,3,13
deepgazeiie,Affective,015,0.5,35,14,3,11
deepgazeiie,Affective,015,0.6,15,12,3,9
deepgazeiie,Affective,015,0.6,25,12,3,9
deepgazeiie,Affective,015,0.6,35,12,3,9
deepgazeiie,Affective,015,0.7,15,12,3,9
deepgazeiie,Affective,015,0.7,25,12,3,9
deepgazeiie,Affective,015,0.7,35,12,3,9
deepgazeiie,Affective,017,0.5,15,16,7,9
deepgazeiie,Affective,017,0.5,25,16,7,9
deepgazeiie,Affective,017,0.5,35,16,7,9
deepgazeiie,Affective,017,0.6,15,12,7,5
deepgazeiie,Affective,017,0.6,25,12,7,5
deepgazeiie,Affective,017,0.6,35,12,7,5
deepgazeiie,Affective,017,0.7,15,12,7,5
deepgazeiie,Affective,017,0.7,25,12,7,5
deepgazeiie,Affective,017,0.7,35,12,7,5
deepgazeiie,Affective,019,0.5,15,4,1,3
deepgazeiie,Affective,019,0.5,25,4,1,3
deepgazeiie,Affective,019,0.5,35,4,1,3
deepgazeiie,Affective,019,0.6,15,4,1,3
deepgazeiie,Affective,019,0.6,25,4,1,3
deepgazeiie,Affective,019,0.6,35,4,1,3
deepgazeiie,Affective,019,0.7,15,4,1,3
deepgazeiie,Affective,019,0.7,25,4,1,3
deepgazeiie,Affective,019,0.7,35,4,1,3
deepgazeiie,Affective,021,0.5,15,16,2,14
deepgazeiie,Affective,021,0.5,25,16,2,14
deepgazeiie,Affective,021,0.5,35,16,2,14
deepgazeiie,Affective,021,0.6,15,16,2,14
deepgazeiie,Affective,021,0.6,25,16,2,14
deepgazeiie,Affective,021,0.6,35,16,2,14
deepgazeiie,Affective,021,0.7,15,12,2,10
deepgazeiie,Affective,021,0.7,25,12,2,10
deepgazeiie,Affective,021,0.7,35,12,2,10
deepgazeiie,Affective,023,0.5,15,12,9,3
deepgazeiie,Affective,023,0.5,25,12,9,3
deepgazeiie,Affective,023,0.5,35,12,9,3
deepgazeiie,Affective,023,0.6,15,12,9,3
deepgazeiie,Affective,023,0.6,25,12,9,3
deepgazeiie,Affective,023,0.6,35,12,9,3
deepgazeiie,Affective,023,0.7,15,8,9,1
deepgazeiie,Affective,023,0.7,25,8,9,1
deepgazeiie,Affective,023,0.7,35,8,9,1
deepgazeiie,Affective,025,0.5,15,12,5,7
deepgazeiie,Affective,025,0.5,25,12,5,7
deepgazeiie,Affective,025,0.5,35,12,5,7
deepgazeiie,Affective,025,0.6,15,8,5,3
deepgazeiie,Affective,025,0.6,25,8,5,3
deepgazeiie,Affective,025,0.6,35,8,5,3
deepgazeiie,Affective,025,0.7,15,8,5,3
deepgazeiie,Affective,025,0.7,25,8,5,3
deepgazeiie,Affective,025,0.7,35,8,5,3
deepgazeiie,Affective,027,0.5,15,12,4,8
deepgazeiie,Affective,027,0.5,25,12,4,8
deepgazeiie,Affective,027,0.5,35,12,4,8
deepgazeiie,Affective,027,0.6,15,4,4,0
deepgazeiie,Affective,027,0.6,25,4,4,0
deepgazeiie,Affective,027,0.6,35,4,4,0
deepgazeiie,Affective,027,0.7,15,4,4,0
deepgazeiie,Affective,027,0.7,25,4,4,0
deepgazeiie,Affective,027,0.7,35,4,4,0
deepgazeiie,Affective,029,0.5,15,12,3,9
deepgazeiie,Affective,029,0.5,25,12,3,9
deepgazeiie,Affective,029,0.5,35,12,3,9
deepgazeiie,Affective,029,0.6,15,12,3,9
deepgazeiie,Affective,029,0.6,25,12,3,9
deepgazeiie,Affective,029,0.6,35,12,3,9
deepgazeiie,Affective,029,0.7,15,12,3,9
deepgazeiie,Affective,029,0.7,25,12,3,9
deepgazeiie,Affective,029,0.7,35,12,3,9
deepgazeiie,Affective,031,0.5,15,4,5,1
deepgazeiie,Affective,031,0.5,25,4,5,1
deepgazeiie,Affective,031,0.5,35,4,5,1
deepgazeiie,Affective,031,0.6,15,4,5,1
deepgazeiie,Affective,031,0.6,25,4,5,1
deepgazeiie,Affective,031,0.6,35,4,5,1
deepgazeiie,Affective,031,0.7,15,4,5,1
deepgazeiie,Affective,031,0.7,25,4,5,1
deepgazeiie,Affective,031,0.7,35,4,5,1
deepgazeiie,Affective,033,0.5,15,12,5,7
deepgazeiie,Affective,033,0.5,25,12,5,7
deepgazeiie,Affective,033,0.5,35,12,5,7
deepgazeiie,Affective,033,0.6,15,12,5,7
deepgazeiie,Affective,033,0.6,25,12,5,7
deepgazeiie,Affective,033,0.6,35,12,5,7
deepgazeiie,Affective,033,0.7,15,4,5,1
deepgazeiie,Affective,033,0.7,25,4,5,1
deepgazeiie,Affective,033,0.7,35,4,5,1
deepgazeiie,Affective,035,0.5,15,4,2,2
deepgazeiie,Affective,035,0.5,25,4,2,2
deepgazeiie,Affective,035,0.5,35,4,2,2
deepgazeiie,Affective,035,0.6,15,4,2,2
deepgazeiie,Affective,035,0.6,25,4,2,2
deepgazeiie,Affective,035,0.6,35,4,2,2
deepgazeiie,Affective,035,0.7,15,4,2,2
deepgazeiie,Affective,035,0.7,25,4,2,2
deepgazeiie,Affective,035,0.7,35,4,2,2
deepgazeiie,Affective,037,0.5,15,10,1,9
deepgazeiie,Affective,037,0.5,25,8,1,7
deepgazeiie,Affective,037,0.5,35,8,1,7
deepgazeiie,Affective,037,0.6,15,4,1,3
deepgazeiie,Affective,037,0.6,25,4,1,3
deepgazeiie,Affective,037,0.6,35,4,1,3
deepgazeiie,Affective,037,0.7,15,4,1,3
deepgazeiie,Affective,037,0.7,25,4,1,3
deepgazeiie,Affective,037,0.7,35,4,1,3
deepgazeiie,Affective,039,0.5,15,8,9,1
deepgazeiie,Affective,039,0.5,25,8,9,1
deepgazeiie,Affective,039,0.5,35,8,9,1
deepgazeiie,Affective,039,0.6,15,8,9,1
deepgazeiie,Affective,039,0.6,25,8,9,1
deepgazeiie,Affective,039,0.6,35,8,9,1
deepgazeiie,Affective,039,0.7,15,8,9,1
deepgazeiie,Affective,039,0.7,25,8,9,1
deepgazeiie,Affective,039,0.7,35,8,9,1
deepgazeiie,Affective,041,0.5,15,8,4,4
deepgazeiie,Affective,041,0.5,25,8,4,4
deepgazeiie,Affective,041,0.5,35,8,4,4
deepgazeiie,Affective,041,0.6,15,8,4,4
deepgazeiie,Affective,041,0.6,25,8,4,4
deepgazeiie,Affective,041,0.6,35,8,4,4
deepgazeiie,Affective,041,0.7,15,4,4,0
deepgazeiie,Affective,041,0.7,25,4,4,0
deepgazeiie,Affective,041,0.7,35,4,4,0
deepgazeiie,Affective,043,0.5,15,8,1,7
deepgazeiie,Affective,043,0.5,25,8,1,7
deepgazeiie,Affective,043,0.5,35,8,1,7
deepgazeiie,Affective,043,0.6,15,4,1,3
deepgazeiie,Affective,043,0.6,25,4,1,3
deepgazeiie,Affective,043,0.6,35,4,1,3
deepgazeiie,Affective,043,0.7,15,4,1,3
deepgazeiie,Affective,043,0.7,25,4,1,3
deepgazeiie,Affective,043,0.7,35,4,1,3
deepgazeiie,Affective,045,0.5,15,8,4,4
deepgazeiie,Affective,045,0.5,25,8,4,4
deepgazeiie,Affective,045,0.5,35,8,4,4
deepgazeiie,Affective,045,0.6,15,8,4,4
deepgazeiie,Affective,045,0.6,25,8,4,4
deepgazeiie,Affective,045,0.6,35,8,4,4
deepgazeiie,Affective,045,0.7,15,8,4,4
deepgazeiie,Affective,045,0.7,25,8,4,4
deepgazeiie,Affective,045,0.7,35,8,4,4
deepgazeiie,Affective,047,0.5,15,4,8,4
deepgazeiie,Affective,047,0.5,25,4,8,4
deepgazeiie,Affective,047,0.5,35,4,8,4
deepgazeiie,Affective,047,0.6,15,4,8,4
deepgazeiie,Affective,047,0.6,25,4,8,4
deepgazeiie,Affective,047,0.6,35,4,8,4
