model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,LowResolution,061,0.5,35,24,3,21
deepgazeiie,LowResolution,063,0.5,35,8,2,6
deepgazeiie,LowResolution,065,0.5,35,12,5,7
deepgazeiie,LowResolution,067,0.5,35,4,5,1
deepgazeiie,LowResolution,069,0.5,35,12,4,8
deepgazeiie,Noisy,001,0.5,35,4,3,1
deepgazeiie,Noisy,003,0.5,35,20,6,14
deepgazeiie,Noisy,005,0.5,35,12,2,10
deepgazeiie,Noisy,007,0.5,35,12,5,7
deepgazeiie,Noisy,009,0.5,35,28,3,25
deepgazeiie,Noisy,011,0.5,35,12,2,10
deepgazeiie,Noisy,013,0.5,35,16,3,13
deepgazeiie,Noisy,015,0.5,35,12,4,8
deepgazeiie,Noisy,017,0.5,35,12,5,7
deepgazeiie,Noisy,019,0.5,35,12,5,7
deepgazeiie,Noisy,021,0.5,35,4,3,1
deepgazeiie,Noisy,023,0.5,35,8,3,5
deepgazeiie,Noisy,025,0.5,35,4,1,3
deepgazeiie,Noisy,027,0.5,35,8,1,7
deepgazeiie,Noisy,029,0.5,35,20,1,19
deepgazeiie,Noisy,031,0.5,35,4,7,3
deepgazeiie,Noisy,033,0.5,35,20,4,16
deepgazeiie,Noisy,035,0.5,35,8,1,7
deepgazeiie,Noisy,037,0.5,35,12,2,10
deepgazeiie,Noisy,039,0.5,35,4,2,2
deepgazeiie,Noisy,041,0.5,35,4,3,1
deepgazeiie,Noisy,043,0.5,35,20,4,16
deepgazeiie,Noisy,045,0.5,35,8,5,3
deepgazeiie,Noisy,047,0.5,35,8,3,5
deepgazeiie,Noisy,049,0.5,35,4,4,0
deepgazeiie,Noisy,051,0.5,35,20,8,12
deepgazeiie,Noisy,053,0.5,35,8,7,1
deepgazeiie,Noisy,055,0.5,35,4,1,3
deepgazeiie,Noisy,057,0.5,35,20,6,14
deepgazeiie,Noisy,059,0.5,35,8,1,7
deepgazeiie,Noisy,061,0.5,35,12,7,5
deepgazeiie,Noisy,063,0.5,35,12,5,7
deepgazeiie,Noisy,065,0.5,35,16,4,12
deepgazeiie,Noisy,067,0.5,35,20,1,19
deepgazeiie,Noisy,069,0.5,35,20,2,18
deepgazeiie,Object,001,0.5,35,12,10,2
deepgazeiie,Object,003,0.5,35,12,9,3
deepgazeiie,Object,005,0.5,35,8,6,2
deepgazeiie,Object,007,0.5,35,24,8,16
deepgazeiie,Object,009,0.5,35,32,7,25
deepgazeiie,Object,011,0.5,35,12,2,10
deepgazeiie,Object,013,0.5,35,12,3,9
deepgazeiie,Object,015,0.5,35,8,1,7
deepgazeiie,Object,017,0.5,35,8,4,4
deepgazeiie,Object,019,0.5,35,12,6,6
deepgazeiie,Object,021,0.5,35,20,7,13
deepgazeiie,Object,023,0.5,35,24,5,19
deepgazeiie,Object,025,0.5,35,8,5,3
deepgazeiie,Object,027,0.5,35,4,3,1
deepgazeiie,Object,029,0.5,35,4,2,2
deepgazeiie,Object,031,0.5,35,8,6,2
deepgazeiie,Object,033,0.5,35,4,2,2
deepgazeiie,Object,035,0.5,35,12,3,9
deepgazeiie,Object,037,0.5,35,4,2,2
deepgazeiie,Object,039,0.5,35,8,3,5
deepgazeiie,Object,041,0.5,35,4,3,1
deepgazeiie,Object,043,0.5,35,4,6,2
deepgazeiie,Object,045,0.5,35,12,1,11
deepgazeiie,Object,047,0.5,35,4,2,2
deepgazeiie,Object,049,0.5,35,4,4,0
deepgazeiie,Object,051,0.5,35,8,7,1
deepgazeiie,Object,053,0.5,35,12,1,11
deepgazeiie,Object,055,0.5,35,16,6,10
deepgazeiie,Object,057,0.5,35,8,3,5
deepgazeiie,Object,059,0.5,35,28,4,24
deepgazeiie,Object,061,0.5,35,8,1,7
deepgazeiie,Object,063,0.5,35,4,6,2
deepgazeiie,Object,065,0.5,35,4,2,2
deepgazeiie,Object,067,0.5,35,12,4,8
deepgazeiie,Object,069,0.5,35,28,7,21
deepgazeiie,OutdoorManMade,001,0.5,35,12,12,0
deepgazeiie,OutdoorManMade,003,0.5,35,8,6,2
